pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	3000001	3500000	-1.0408340855860839e-16	11
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	3500001	4000000	0.08333333333333294	14
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	4000001	4500000	NA	15
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	4500001	5000000	0.0885353412679135	31
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	5000001	5500000	0.11952779144121994	9
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	5500001	6000000	-1.0408340855860839e-16	28
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	6000001	6500000	-0.022727272727272672	47
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	6500001	7000000	-0.08084893167746322	65
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	7000001	7500000	0.04998971405060686	69
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	7500001	8000000	0.09525038719669593	45
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	8000001	8500000	0.050632911392404965	80
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	8500001	9000000	NA	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	9000001	9500000	-0.005835199811387447	47
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	9500001	10000000	0.26951289870600836	40
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	10000001	10500000	-0.036585365853658555	31
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	10500001	11000000	0.31985294117647056	14
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	11000001	11500000	0.2613636363636362	22
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	11500001	12000000	-0.08695652173913042	23
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	12000001	12500000	-1.0408340855860838e-16	28
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	12500001	13000000	-0.015624999999999995	28
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	13000001	13500000	-1.0408340855860839e-16	9
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	13500001	14000000	NA	22
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	14000001	14500000	0.08333333333333294	17
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	14500001	15000000	0.013157894736841931	32
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	15000001	15500000	0.08333333333333294	25
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	15500001	16000000	NA	26
