pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	1	500000	NA	0	0	0	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	500001	1000000	NA	0	0	0	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	1000001	1500000	NA	0	0	0	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	1500001	2000000	NA	0	0	0	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	2000001	2500000	NA	0	0	0	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	2500001	3000000	NA	0	0	0	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	3000001	3500000	0.00242152466367713	446	108	44600	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	3500001	4000000	0.0011869436201780415	348	40	33700	1100
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	4000001	4500000	0.0	182	0	16600	1600
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	4500001	5000000	0.003066507367582636	551	154	50220	4880
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	5000001	5500000	0.0008	317	24	30000	1700
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	5500001	6000000	0.00017211703958691912	581	10	58100	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	6000001	6500000	0.001972132904608789	933	184	93300	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	6500001	7000000	0.002240509539779613	1482	318	141932	6268
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	7000001	7500000	0.0020480854853072127	1829	368	179680	3220
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	7500001	8000000	0.0016873889875666074	1172	190	112600	4600
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	8000001	8500000	0.0016605728214503352	1347	218	131280	3420
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	8500001	9000000	0.0	225	0	22500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	9000001	9500000	0.0020086738187628395	898	176	87620	2180
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	9500001	10000000	0.006315289648622982	882	532	84240	3960
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	10000001	10500000	0.0021124471888202797	627	130	61540	1160
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	10500001	11000000	0.008888888888888889	165	136	15300	1200
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	11000001	11500000	0.0016441222629100965	550	88	53524	1476
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	11500001	12000000	0.0022085259373394966	413	86	38940	2360
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	12000001	12500000	0.0012751229582852633	714	84	65876	5524
