pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	1	500000	0.00032111662955985616	1952	60	186848	8352
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	500001	1000000	0.0017121588089330025	806	138	80600	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	1000001	1500000	0.002785951292806611	765	178	63892	12608
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	1500001	2000000	0.0017866526537046769	1185	204	114180	4320
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	2000001	2500000	0.002700228832951945	437	118	43700	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	2500001	3000000	0.0006872852233676976	291	20	29100	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	3000001	3500000	0.00022675736961451248	441	10	44100	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	3500001	4000000	0.000900360144057623	344	30	33320	1080
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	4000001	4500000	0.0	181	0	16500	1600
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	4500001	5000000	0.0023666265543521863	547	118	49860	4840
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	5000001	5500000	0.0008021390374331551	316	24	29920	1680
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	5500001	6000000	0.00017301038062283736	578	10	57800	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	6000001	6500000	0.0011891891891891893	925	110	92500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	6500001	7000000	0.0015477238519864822	1471	218	140852	6248
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	7000001	7500000	0.0010677756547150725	1811	190	177940	3160
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	7500001	8000000	0.0010748835542816195	1162	120	111640	4560
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	8000001	8500000	0.0012140771476871063	1335	158	130140	3360
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	8500001	9000000	0.0	225	0	22500	0
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_Z	9000001	9500000	0.00146784715750233	880	126	85840	2160
