pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AtlanticForest	Inambari	chr_Z	700001	1200000	0.079212295991106	4
AtlanticForest	Inambari	chr_Z	1200001	1700000	0.06242903717173427	8
AtlanticForest	Inambari	chr_Z	2200001	2700000	0.07243850934467978	3
AtlanticForest	Inambari	chr_Z	2700001	3200000	0.1705202312138729	1
AtlanticForest	Inambari	chr_Z	4700001	5200000	0.04674127715602339	1
AtlanticForest	Inambari	chr_Z	5200001	5700000	0.015774526004721987	1
AtlanticForest	Inambari	chr_Z	5700001	6200000	0.04011280261629817	3
AtlanticForest	Inambari	chr_Z	6200001	6700000	0.24090381532107008	7
AtlanticForest	Inambari	chr_Z	6700001	7200000	0.13370746864798735	4
AtlanticForest	Inambari	chr_Z	7200001	7700000	0.0826622863874943	4
AtlanticForest	Inambari	chr_Z	7700001	8200000	0.15003252585870558	5
AtlanticForest	Inambari	chr_Z	8200001	8700000	0.15437295639529572	2
AtlanticForest	Inambari	chr_Z	8700001	9200000	0.13366739849792228	1
AtlanticForest	Inambari	chr_Z	9200001	9700000	0.04905813874990218	4
AtlanticForest	Inambari	chr_Z	9700001	10200000	0.15603652720851688	2
AtlanticForest	Inambari	chr_Z	10200001	10700000	0.12630934543116615	2
AtlanticForest	Inambari	chr_Z	10700001	11200000	0.18883740720352193	4
AtlanticForest	Inambari	chr_Z	12200001	12700000	-0.059922680412371074	2
AtlanticForest	Inambari	chr_Z	12700001	13200000	-0.01616628175519594	1
AtlanticForest	Inambari	chr_Z	13200001	13700000	0.021392381309813996	1
AtlanticForest	Inambari	chr_Z	13700001	14200000	0.3655342074213875	2
AtlanticForest	Inambari	chr_Z	16200001	16700000	0.26002523558732377	2
AtlanticForest	Inambari	chr_Z	16700001	17200000	0.10713909526619103	3
AtlanticForest	Inambari	chr_Z	17200001	17700000	0.020508438367869627	1
AtlanticForest	Inambari	chr_Z	17700001	18200000	-0.012882748319641067	2
AtlanticForest	Inambari	chr_Z	19700001	20200000	0.13265194503218258	2
AtlanticForest	Inambari	chr_Z	20200001	20700000	0.016611999610696655	2
AtlanticForest	Inambari	chr_Z	20700001	21200000	0.30524667948726175	3
AtlanticForest	Inambari	chr_Z	21700001	22200000	0.34353050811382935	1
AtlanticForest	Inambari	chr_Z	22700001	23200000	-0.05599214145383074	2
AtlanticForest	Inambari	chr_Z	23200001	23700000	-0.0472029569755988	1
AtlanticForest	Inambari	chr_Z	25200001	25700000	0.047970479704796364	1
AtlanticForest	Inambari	chr_Z	25700001	26200000	0.20134831460674152	2
AtlanticForest	Inambari	chr_Z	26200001	26700000	0.1014956012959873	4
AtlanticForest	Inambari	chr_Z	26700001	27200000	0.2281962338949455	2
AtlanticForest	Inambari	chr_Z	27200001	27700000	0.37827536922343963	1
AtlanticForest	Inambari	chr_Z	27700001	28200000	0.12891113892365452	1
AtlanticForest	Inambari	chr_Z	29200001	29700000	NA	1
AtlanticForest	Inambari	chr_Z	32200001	32700000	0.33220910623946015	1
AtlanticForest	Inambari	chr_Z	32700001	33200000	-0.0003969236284794024	1
AtlanticForest	Inambari	chr_Z	34200001	34700000	NA	1
AtlanticForest	Inambari	chr_Z	36200001	36700000	0.3513816527072479	1
AtlanticForest	Inambari	chr_Z	37200001	37700000	-0.02827881303392529	4
AtlanticForest	Inambari	chr_Z	37700001	38200000	0.11468231839655457	2
AtlanticForest	Inambari	chr_Z	39200001	39700000	0.249762069562208	1
